window_s,backend,rank,winner,polarity,selected_policy,threshold,t_on,t_off,persistence_windows,calibration_real_only_fa_per_min,calibration_real_only_false_alert_time_ratio,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s
28,xception_df40,2,False,low,strict_0.10,0.31,0.31,0.21,3,0.1,0.02,0.184615,0.152284,0.104061,16.184571,0.439024,0.188917,0.219144,11.079793
28,effort_clip_l14,3,False,high,strict_0.10,0.99,0.99,0.89,1,0.1,0.046667,0.447368,0.228426,0.114213,11.534893,0.35443,0.302267,0.2267,11.297366
28,efficientnet_b4,4,False,low,strict_0.10,0.68,0.68,0.5800000000000001,3,0.0,0.0,0.186047,0.266497,0.431472,14.576357,0.646617,0.453401,0.647355,3.709463
28,f3net,5,False,high,strict_0.10,0.54,0.54,0.44000000000000006,2,0.0,0.0,0.634615,0.304569,0.337563,7.03006,0.511111,0.34005,0.261965,10.291793
28,videomae,6,False,low,strict_0.10,0.46,0.46,0.36,3,0.1,0.02,0.571429,0.304569,0.555838,7.303036,0.616541,0.415617,0.692695,4.074463
29,i3d,1,True,low,strict_0.10,0.32,0.32,0.27,2,0.0,0.0,0.511628,0.210822,0.170766,11.141631,0.588235,0.44837,0.82269,5.005902
29,effort_clip_l14,2,False,high,strict_0.10,0.98,0.98,0.88,2,0.0,0.0,0.545455,0.252987,0.183415,11.050536,0.16129,0.040761,0.078804,16.320866
29,videomae,3,False,low,strict_0.10,0.63,0.63,0.53,2,0.0,0.0,0.348837,0.295151,0.319747,11.971464,0.504854,0.285326,0.460598,9.595378
29,efficientnet_b4,4,False,high,strict_0.10,0.36,0.36,0.26,3,0.0,0.0,0.407767,0.37948,0.537597,12.015786,0.423529,0.244565,0.257473,12.334598
29,xception_df40,5,False,high,strict_0.10,0.91,0.91,0.86,1,0.1,0.048333,0.418605,0.421644,0.258609,11.957214,0.4,0.529891,0.362092,11.171488
29,f3net,6,False,high,strict_0.10,0.5,0.5,0.4,3,0.0,0.0,0.578125,0.505973,0.714687,6.857869,0.480769,0.366848,0.493886,8.770768
30,efficientnet_b4,1,True,low,strict_0.10,0.73,0.73,0.63,2,0.0,0.0,0.32,0.222222,0.314815,12.077774,0.590476,0.307692,0.5,6.457463
30,xception_df40,2,False,low,strict_0.10,0.26,0.26,0.21000000000000002,3,0.0,0.0,0.416667,0.222222,0.203704,12.582298,0.463415,0.192308,0.288462,10.92428
30,i3d,3,False,high,strict_0.10,0.7,0.7,0.6499999999999999,3,0.0,0.0,0.519231,0.259259,0.574074,6.068726,0.209302,0.192308,0.557692,14.307512
30,f3net,4,False,high,strict_0.10,0.49,0.49,0.39,3,0.0,0.0,0.560748,0.259259,0.574074,7.334083,0.489362,0.230769,0.442308,8.441817
30,effort_clip_l14,5,False,low,strict_0.10,0.19,0.19,0.09,2,0.1,0.05,0.571429,0.259259,0.259259,9.417512,0.344086,0.269231,0.557692,11.054305
30,videomae,6,False,low,strict_0.10,0.54,0.54,0.44000000000000006,2,0.1,0.05,0.449438,0.259259,0.425926,10.094393,0.595041,0.346154,0.711538,4.952012
31,i3d,1,True,low,strict_0.10,0.32,0.32,0.27,2,0.0,0.0,0.243902,0.080537,0.430872,15.622631,0.491228,0.312036,0.692422,8.626
